Pose,Distance1 (cm),Distance2 (cm),Distance3 (cm),Distance4 (cm),Distance5 (cm),Distance6 (cm),Distance7 (cm),Height_Pre (cm),px_per_cm,Height_truth (cm)
5,10.083090192601224,55.31051308513567,51.58032682288763,70.7394608787415,24.056470459130825,5.369383376532533,17.375324606459277,234.51456942148866,3.724822497758709,164.0
5,7.2231734199848034,44.341013861115755,45.818160904392066,62.19702451361596,19.30925661677605,1.3793970015548416,4.463728697031467,184.73175501447096,8.71454357710041,175.0
5,7.672874104838949,51.16375311235242,53.12846713716185,74.72230371450412,22.62898083437074,5.334758399370668,17.263278180363482,231.91441548296223,3.9715501128650104,168.0
5,7.733041859560994,52.83072209106276,52.889893626243484,70.9864545061464,25.75749220690157,5.1594371836571495,16.695938726314537,232.05298019988695,3.8763918016777663,170.0
6,6.4185258862255345,39.940463036702305,43.25274565002037,60.287254357253154,24.21749094448725,4.456356951492395,14.420771095029389,192.9936079212104,8.708110871862193,170.0
5,8.047071852937341,56.627177034840884,55.04138286743255,74.19374255554634,26.450090068896646,5.456184420004355,17.656212783134094,243.4718615827922,3.8523329437756146,175.0
4,10.422842374227026,54.456346160664374,46.704166171869964,77.21582431860408,28.09959114337766,5.594305217032475,18.10317168231709,240.59624706809265,3.791928150614754,170.0
1,5.449257108365894,39.059726069909395,49.75198445498491,67.96852356877288,23.7314484804023,5.072414160237067,16.41433222252715,207.44768606519958,3.840358046234631,160.0
4,8.383772789413705,61.31207797872751,57.978728008386994,78.68116827538203,28.650022210068123,5.833576351374073,18.877453073046503,259.71679868639893,3.756437708119877,174.0
6,9.933471372616063,57.19990722740044,67.03142189601489,87.5611880572484,32.26543209272624,5.833722614191923,18.87792637952506,278.70306963972297,1.0285027926085426,170.0
5,10.3065832387896,60.14341132247539,58.811940857736595,79.03776860159459,27.975274351589434,5.759779670530028,18.63864701383517,260.6734050565508,3.804079149590164,174.0
5,10.219012638824486,65.57603486394423,54.2977306296835,81.59785708651556,27.328438241141125,5.081806975936354,16.444727374130043,260.54560781017534,3.738827564677254,175.0
2,3.152839734773242,37.21174584438462,43.364931950810515,60.733725133326395,22.371348425718,4.449436442490411,14.398376327898971,185.68240385940214,8.745741547131148,170.0
1,5.413890707921366,33.65238039931798,36.3356348237519,59.6237378704295,17.730493404074036,4.0245012428676565,13.02328602191974,169.80392447028214,4.100750032018443,173.0
1,7.16909251402093,46.12322660914743,51.22526917500707,73.26632196387531,28.11195236553203,5.493422383461769,17.776714832882284,229.16599984392678,3.794431592597336,170.0
1,5.763512501926783,33.748000319362774,36.189707147060155,59.664111782991064,17.799172936743275,4.172975631590654,13.503749143827356,170.8412294635021,4.089560586898053,173.0
6,7.634344535546644,46.904238762548474,47.00790966632804,66.13777135126217,22.943112513341866,3.50180953683503,11.331855661198157,205.4610420270604,8.307977394979508,175.0
6,8.886083820157745,54.260408739903426,53.89047833802152,74.28132866990794,27.73226444299609,4.537776026984431,14.684243223321618,238.2725832612928,3.846677686347336,175.0
4,5.695596969540622,41.15254099941851,47.05973104801531,62.62288955361742,23.496432226157083,4.739264890994546,15.336261187258351,200.10271687500185,1.0550159391809681,170.0
1,6.160966300346806,36.497022159891486,38.587243306158584,61.56275681316667,19.601397650499226,4.15358355087896,13.440996370644314,180.00396615158604,3.3705834560706966,173.0
3,6.48562190613889,40.4241584080432,38.68025339029593,64.6471538743519,21.883605742999023,1.9244145325045237,6.227405427184639,180.2726132815181,1.039277123623207,170.0
6,6.41873909568218,44.670015182931,44.741669430005985,61.67429678378348,22.006624448089283,3.9158266602993965,12.671615072728848,196.0987866735202,8.68271324282787,175.0
5,9.40555748455721,59.31610454775555,55.690078063732095,69.41725946470672,25.760018255981773,5.1802482509825465,16.76328334017952,241.53254940789546,3.8608188316470287,168.0
1,4.606071415570262,37.4245864688442,39.97208044529083,58.78047470164048,23.39106929761463,4.589070036094846,14.850230636802923,183.61358300185816,3.3773573578381146,170.0
3,8.203187370867061,42.938853583761414,45.64318054085208,61.9580466666641,22.182661126880628,4.799629305433634,15.53160043238324,201.25715902684217,8.757412269467213,170.0
3,7.317701345527715,44.54835760423923,44.68566089442675,62.98418954654073,19.896085683507753,3.524090344920342,11.403956356162226,194.36004177532476,8.740418481045081,175.0
5,6.024361416619773,44.10007657435785,43.679931559254484,59.66350536171525,22.80812202994149,4.8522728324429085,15.701954885785254,196.830224660117,3.297423816118084,170.0
3,9.093850386280707,59.44115888984936,55.000921301123505,73.85954479864928,26.5356605140586,5.790914550556144,18.739399485599684,248.4614499261173,3.7852933289574797,170.0
6,9.736959979398899,58.78736058432465,53.912195277985575,67.37131513944811,26.465222275230403,5.216278008310666,16.879875634893317,238.36920689959163,3.8341514712474387,168.0
5,7.925904701739999,57.72101953708868,56.32423058929125,78.47823049501385,25.404953910059746,5.735190832387134,18.559077533604768,250.14860759918542,3.835966516713627,173.0
1,6.44132092148574,44.90759788458107,52.83332880583283,70.25151249625524,29.005989171238372,5.29090949030265,17.121383110619377,225.85204188031528,3.8668082815701843,177.0
1,5.95181715721987,34.662499748267976,41.387592110758305,60.04397622115729,23.557107007337397,4.769365615586974,15.43366713203945,185.80602499236727,8.771044121413935,170.0
6,6.692501823780084,41.60276671679807,36.59116249066963,60.732691317469545,18.331963767201273,4.20794055161735,13.616895625033745,181.77592229256967,4.039981029072746,173.0
1,4.6757557603404765,45.560956173347755,54.11002370579779,72.13590370267349,24.588641877756157,5.0011906013016025,16.18385278581199,222.25632460702926,3.7914608814677253,183.0
3,11.01761457524909,55.1340750256158,59.85917421335702,71.03181273210467,26.659471308439276,5.250804755557634,16.991604188984503,245.94455679930803,3.8089399494108607,168.0
3,8.453007273562816,57.417240497008486,57.038221214077794,78.98761991146456,25.40155438341769,5.2070161216163875,16.84990416955063,249.3545635706984,3.840971399526127,173.0
4,7.452534081154367,52.55900241242568,53.844384045617176,78.48760836062891,27.63512256642209,5.1018059904213695,16.509444185003552,241.58990164167318,3.844053174628586,175.0
6,8.531218072227446,50.44370300943859,50.14326136737978,68.74855457563058,25.91537099625286,5.008650610146437,16.20799337443387,224.99875200550957,3.7501060610911887,164.0
4,6.1078569554385975,41.88868694101781,42.73797420914587,58.85202106621559,26.416920592035883,4.426985155432214,14.325723962978646,194.75616888226463,8.727130827356557,170.0
2,3.384312966590692,45.183861863798505,53.30298343556654,74.27303763452115,30.045463296226423,5.675617650905353,18.366298718329723,230.23157556593839,3.8525220527023567,175.0
4,6.927814386869303,56.05066773218924,48.23658141842328,69.82412431476862,24.24797766038332,4.806843625021232,15.554945970568706,225.6489551082237,3.95269775390625,168.0
6,7.285487061628473,44.30422896415845,44.23372110061374,62.73871837375909,23.542795658015603,4.963910994082946,16.063215976852415,203.1320781291107,8.395427766393443,170.0
4,8.196121652778892,55.582490991268266,55.91374977960054,75.61298699209692,29.284339430799367,6.363070842551432,20.590897246496432,251.54365693559183,3.7952640721055326,183.0
4,9.134530246908499,51.42245007556099,52.61473731307412,67.82322347146429,25.825988157641877,2.967854726710915,9.603977895636522,219.39276188699722,3.7063808753842213,164.0
5,8.682597096258627,44.318796424895936,43.07569351218233,68.28886925578676,22.587645298543457,5.276664238689459,17.07528547639909,209.30555130275565,8.366146900614755,170.0
4,8.494857746050245,52.16543848778374,56.55869655800276,75.35599302517934,26.304287216105145,4.928926132512502,15.950004964810457,239.7582041304442,3.849452284515881,173.0
